cve,descrip
"S909","TRAUMATISMO SUPERFICIAL DEL PIE Y DEL TOBILLO, NO ESPECIFICADO"
"S910","HERIDA DEL TOBILLO"
"S911","HERIDA DE DEDO(S) DEL PIE SIN DAÑO(S) DE LA(S) UÑA(S)"
"S912","HERIDA DE DEDO(S) DEL PIE CON DAÑO(S) DE LA(S) UÑA(S)"
"S913","HERIDA DE OTRAS PARTES DEL PIE"
"S917","HERIDAS MULTIPLES DEL TOBILLO Y DEL PIE"
"S920","FRACTURA DEL CALCANEO"
"S921","FRACTURA DEL ASTRAGALO"
"S922","FRACTURA DE OTRO(S) HUESO(S) DEL TARSO"
"S923","FRACTURA DE HUESO DEL METATARSO"
"S924","FRACTURA DE LOS HUESOS DEL DEDO GORDO DEL PIE"
"S925","FRACTURA DE LOS HUESOS DE OTRO(S) DEDO(S) DEL PIE"
"S927","FRACTURAS MULTIPLES DEL PIE"
"S929","FRACTURA DEL PIE, NO ESPECIFICADA"
"S930","LUXACION DE LA ARTICULACION DEL TOBILLO"
"S931","LUXACION DE DEDO(S) DEL PIE"
"S932","RUPTURA DE LIGAMENTOS A NIVEL DEL TOBILLO Y DEL PIE"
"S933","LUXACION DE OTROS SITIOS Y LOS NO ESPECIFICADOS DEL PIE"
"S934","ESGUINCES Y TORCEDURAS DEL TOBILLO"
"S935","ESGUINCES Y TORCEDURAS DE DEDO(S) DEL PIE"
"S936","ESGUINCES Y TORCEDURAS DE OTROS SITIOS Y LOS NO ESPECIFICADOS DEL PIE"
"S940","TRAUMATISMO DEL NERVIO PLANTAR EXTERNO"
"S941","TRAUMATISMO DEL NERVIO PLANTAR INTERNO"
"S942","TRAUMATISMO DEL NERVIO PERONEAL PROFUNDO A NIVEL DEL PIE Y DEL TOBILLO"
"S943","TRAUMATISMO DE NERVIO SENSORIAL CUTANEO A NIVEL DEL PIE Y DEL TOBILLO"
"S947","TRAUMATISMO DE MULTIPLES NERVIOS A NIVEL DEL PIE Y DEL TOBILLO"
"S948","TRAUMATISMO DE OTROS NERVIOS A NIVEL DEL PIE Y DEL TOBILLO"
"S949","TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DEL PIE Y DEL TOBILLO"
"S950","TRAUMATISMO DE LA ARTERIA DORSAL DEL PIE"
"S951","TRAUMATISMO DE LA ARTERIA PLANTAR DEL PIE"
"S952","TRAUMATISMO DE LA VENA DORSAL DEL PIE"
"S957","TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS A NIVEL DEL PIE Y DEL TOBILLO"
"S958","TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DEL PIE Y DEL TOBILLO"
"S959","TRAUMATISMO DE VASO SANGUINEO NO ESPECIFICADO A NIVEL DE PIE Y DEL TOBILLO"
"S960","TRAUMATISMO DEL TENDON Y MUSCULO DEL FLEXOR LARGO DEL DEDO A NIVEL DEL PIE Y DEL TOBILLO"
"S961","TRAUMATISMO DEL TENDON Y MUSCULO DEL EXTENSOR LARGO DEL (DE LOS) DEDO(S) A NIVEL DEL PIE Y DEL TOBILLO"
"S962","TRAUMATISMO DE TENDONES Y MUSCULOS INTRINSECOS A NIVEL DEL PIE Y DEL TOBILLO"
"S967","TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS A NIVEL DEL PIE Y DEL TOBILLO"
"S968","TRAUMATISMO DE OTROS TENDONES Y MUSCULOS A NIVEL DEL PIE Y DEL TOBILLO"
"S969","TRAUMATISMO DE TENDONES Y MUSCULOS NO ESPECIFICADOS A NIVEL DEL PIE Y DEL TOBILLO"
"S970","TRAUMATISMO POR APLASTAMIENTO DEL TOBILLO"
"S971","TRAUMATISMO POR APLASTAMIENTO DE DEDO(S) DEL PIE"
"S978","TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES DEL PIE Y DEL TOBILLO"
"S980","AMPUTACION TRAUMATICA DEL PIE A NIVEL DEL TOBILLO"
"S981","AMPUTACION TRAUMATICA DE UN DEDO DEL PIE"
"S982","AMPUTACION TRAUMATICA DE DOS A MAS DEDOS DEL PIE"
"S983","AMPUTACION TRAUMATICA DE OTRAS PARTES DEL PIE"
"S984","AMPUTACION DEL PIE, NIVEL NO ESPECIFICADO"
"S997","OTROS TRAUMATISMOS MULTIPLES DEL PIE Y DEL TOBILLO"
"S998","OTROS TRAUMATISMOS DEL PIE Y DEL TOBILLO, ESPECIFICADOS"
"S999","TRAUMATISMO DEL PIE Y DEL TOBILLO, NO ESPECIFICADO"
"T000","TRAUMATISMOS SUPERFICIALES QUE AFECTAN LA CABEZA CON EL CUELLO"
"T001","TRAUMATISMOS SUPERFICIALES QUE AFECTAN EL TORAX CON EL ABDOMEN, LA REGION LUMBOSACRA Y LA PELVIS"
"T002","TRAUMATISMOS SUPERFICIALES QUE AFECTAN MULTIPLES REGIONES DEL(OS) MIEMBRO(S) SUPERIOR(ES)"
"T003","TRAUMATISMOS SUPERFICIALES QUE AFECTAN MULTIPLES REGIONES DEL(DE LOS) MIEMBRO(S) INFERIOR(ES)"
"T006","TRAUMATISMOS SUPERFICIALES QUE AFECTAN MULTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) SUPERIOR(ES) CON MIEMBRO(S) INFERIOR(ES)"
"T008","TRAUMATISMOS SUPERFICIALES QUE AFECTAN OTRAS COMBINACIONES DE REGIONES DEL CUERPO"
"T009","TRAUMATISMOS SUPERFICIALES MULTIPLES, NO ESPECIFICADOS"
"T010","HERIDAS QUE AFECTAN LA CABEZA CON EL CUELLO"
"T011","HERIDAS QUE AFECTAN EL TORAX CON EL ABDOMEN, LA REGION LUMBOSACRA Y LA PELVIS"
"T012","HERIDAS QUE AFECTAN MULTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) SUPERIOR(ES)"
"T013","HERIDAS QUE AFECTAN MULTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) INFERIOR(ES)"
"T016","HERIDAS QUE AFECTAN MULTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) SUPERIOR(ES) CON MIEMBRO(S) INFERIOR(ES)"
"T018","HERIDAS QUE AFECTAN OTRAS COMBINACIONES DE LAS REGIONES DEL CUERPO"
"T019","HERIDAS MULTIPLES, NO ESPECIFICADAS"
"T020","FRACTURAS QUE AFECTAN LA CABEZA CON EL CUELLO"
"T021","FRACTURAS QUE AFECTAN EL TORAX CON LA REGION LUMBOSACRA Y LA PELVIS"
"T022","FRACTURAS QUE AFECTAN MULTIPLES REGIONES DE UN MIEMBRO SUPERIOR"
"T023","FRACTURAS QUE AFECTAN MULTIPLES REGIONES DE UN MIEMBRO INFERIOR"
"T024","FRACTURAS QUE AFECTAN MULTIPLES REGIONES DE AMBOS MIEMBROS SUPERIORES"
"T025","FRACTURAS QUE AFECTAN MULTIPLES REGIONES DE AMBOS MIEMBROS INFERIORES"
"T026","FRACTURAS QUE AFECTAN MULTIPLES REGIONES DE MIEMBRO(S) SUPERIOR(ES) CON MIEMBRO(S) INFERIOR(ES)"
"T027","FRACTURAS QUE AFECTAN EL TORAX CON LA REGION LUMBOSACRA Y LA PELVIS CON MIEMBRO(S)"
"T028","FRACTURAS QUE AFECTAN OTRAS COMBINACIONES DE LAS REGIONES DEL CUERPO"
"T029","FRACTURAS MULTIPLES, NO ESPECIFICADAS"
"T030","LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN LA CABEZA CON EL CUELLO"
"T031","LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN EL TORAX CON LA REGION LUMBOSACRA Y LA PELVIS"
"T032","LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN MULTIPLES REGIONES DEL (DE LOS) MIEMBROS(S) SUPERIOR(ES)"
"T033","LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN MULTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) INFERIOR(ES)"
"T034","LUXACIONES, TORCEDURAS ESGUINCES QUE AFECTAN MULTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) SUPERIOR(ES) CON MIEMBRO(S) INFERIOR(ES)"
"T038","LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN OTRAS COMBINACIONES DE REGIONES DEL CUERPO"
"T039","LUXACIONES, TORCEDURAS Y ESGUINCES MULTIPLES, NO ESPECIFICADOS"
"T040","TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN LA CABEZA CON EL CUELLO"
"T041","TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN EL TORAX CON EL ABDOMEN, LA REGION LUMBOSACRA Y LA PELVIS"
"T042","TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN MULTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) SUPERIOR(ES)"
"T043","TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN MULTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) INFERIOR(ES)"
"T044","TRAUMATISMOS POR APLASTAMIENTO QUE AFECTA MULTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) SUPERIOR(ES) CON MIEMBRO(S) INFERIOR(ES)"
"T047","TRAUMATISMOS POR APLASTAMIENTO DEL TORAX, DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS CON MIEMBRO(S)"
"T048","TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN OTRAS COMBINACIONES DE REGIONES DEL CUERPO"
"T049","TRAUMATISMOS POR APLASTAMIENTO MULTIPLE, NO ESPECIFICADOS"
"T050","AMPUTACION TRAUMATICA DE AMBAS MANOS"
"T051","AMPUTACION TRAUMATICA DE UNA MANO Y EL OTRO BRAZO [CUALQUIER NIVEL, EXCEPTO MANO]"
"T052","AMPUTACION TRAUMATICA DE AMBOS BRAZOS [CUALQUIER NIVEL]"
"T053","AMPUTACION TRAUMATICA DE AMBOS PIES"
"T054","AMPUTACION TRAUMATICA DE UN PIE Y LA OTRA PIERNA [CUALQUIER NIVEL, EXCEPTO PIE]"
"T055","AMPUTACION TRAUMATICA DE AMBAS PIERNAS [CUALQUIER NIVEL]"
"T056","AMPUTACION TRAUMATICA DE MIEMBROS SUPERIOR(ES) E INFERIOR(ES), CUALQUIER COMBINACION [CUALQUIER NIVEL]"
"T058","AMPUTACION TRAUMATICA QUE AFECTA OTRAS COMBINACIONES DE REGIONES DEL CUERPO"
"T059","AMPUTACIONES TRAUMATICAS MULTIPLES, NO ESPECIFICADAS"
"T060","TRAUMATISMOS DEL ENCEFALO Y DE NERVIOS CRANEALES CON TRAUMATISMO DE NERVIOS Y MEDULA ESPINAL A NIVEL DEL CUELLO"
"T061","TRAUMATISMOS DE NERVIOS Y MEDULA ESPINAL QUE AFECTAN OTRAS MULTIPLES REGIONES DEL CUERPO"
"T062","TRAUMATISMOS DE NERVIOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO"
"T063","TRAUMATISMOS DE VASOS SANGUINEOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO"
"T064","TRAUMATISMOS DE TENDONES Y MUSCULOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO"
"T065","TRAUMATISMOS DE ORGANOS INTRATORACICOS CON ORGANOS INTRAABDOMINALES Y PELVICOS"
"T068","OTROS TRAUMATISMOS ESPECIFICADOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO"
"T07X","TRAUMATISMOS MULTIPLES, NO ESPECIFICADOS"
"T08X","FRACTURA DE LA COLUMNA VERTEBRAL, NIVEL NO ESPECIFICADO"
"T090","TRAUMATISMO SUPERFICIAL DEL TRONCO, NIVEL NO ESPECIFICADO"
"T091","HERIDA DEL TRONCO, NIVEL NO ESPECIFICADO"
"T092","LUXACION, ESGUINCE O TORCEDURA DE ARTICULACION Y LIGAMENTOS DEL TRONCO, NO ESPECIFICADO"
"T093","TRAUMATISMO DE LA MEDULA ESPINAL, NIVEL NO ESPECIFICADO"
"T094","TRAUMATISMO DE NERVIOS, RAIZ DE NERVIO ESPINAL Y PLEXOS DEL TRONCO NO ESPECIFICADOS"
"T095","TRAUMATISMO DE TENDONES Y MUSCULOS DEL TRONCO NO ESPECIFICADOS"
"T096","AMPUTACION TRAUMATICA DEL TRONCO, NIVEL NO ESPECIFICADO"
"T098","OTROS TRAUMATISMOS ESPECIFICADOS DEL TRONCO, NIVEL NO ESPECIFICADO"
"T099","TRAUMATISMO NO ESPECIFICADO DEL TRONCO, NIVEL NO ESPECIFICADO"
"T10X","FRACTURA DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO"
"T110","TRAUMATISMO SUPERFICIAL DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO"
"T111","HERIDA DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO"
"T112","LUXACION, ESGUINCE O TORCEDURA DE ARTICULACION O LIGAMENTO NO ESPECIFICADO DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO"
"T113","TRAUMATISMO DE NERVIO NO ESPECIFICADO DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO"
"T114","TRAUMATISMO DE VASOS SANGUINEOS NO ESPECIFICADOS DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO"
"T115","TRAUMATISMO DE TENDON Y MUSCULO NO ESPECIFICADOS DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO"
"T116","AMPUTACION TRAUMATICA DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO"
"T118","OTROS TRAUMATISMOS ESPECIFICADOS DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO"
"T119","TRAUMATISMO NO ESPECIFICADO DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO"
"T12X","FRACTURA DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO"
"T130","TRAUMATISMO SUPERFICIAL DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO"
"T131","HERIDA DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO"
"T132","LUXACION, ESGUINCE O TORCEDURA DE ARTICULACION Y LIGAMENTOS NO ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO"
"T133","TRAUMATISMO DE NERVIOS NO ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO"
"T134","TRAUMATISMO DE VASOS SANGUINEOS NO ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO"
"T135","TRAUMATISMO DE TENDONES Y MUSCULOS NO ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO"
"T136","AMPUTACION TRAUMATICA DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO"
"T138","OTROS TRAUMATISMOS ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO"
"T139","TRAUMATISMO NO ESPECIFICADO DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO"
"T140","TRAUMATISMO SUPERFICIAL DE REGION NO ESPECIFICADA DEL CUERPO"
"T141","HERIDA DE REGION NO ESPECIFICADA DEL CUERPO"
"T142","FRACTURA DE REGION NO ESPECIFICADA DEL CUERPO"
"T143","LUXACION, ESGUINCE Y TORCEDURA DE REGION NO ESPECIFICADA DEL CUERPO"
"T144","TRAUMATISMO DE NERVIO(S) DE REGION NO ESPECIFICADA DEL CUERPO"
"T145","TRAUMATISMO DE VASO(S) SANGUINEO(S) DE REGION NO ESPECIFICADA DEL CUERPO"
"T146","TRAUMATISMO DE TENDONES Y MUSCULOS DE REGION NO ESPECIFICADA DEL CUERPO"
"T147","TRAUMATISMO POR APLASTAMIENTO Y AMPUTACION TRAUMATICA DE REGIONES NO ESPECIFICADAS DEL CUERPO"
"T148","OTROS TRAUMATISMOS DE REGION NO ESPECIFICADA DEL CUERPO"
"T149","TRAUMATISMO, NO ESPECIFICADO"
"T150","CUERPO EXTRAÑO EN LA CORNEA"
"T151","CUERPO EXTRAÑO EN EL SACO CONJUNTIVAL"
"T158","CUERPO EXTRAÑO EN OTRAS Y EN MULTIPLES PARTES DE LA PARTE EXTERNA DEL OJO"
"T159","CUERPO EXTRAÑO EN PARTE EXTERNA DEL OJO, SITIO NO ESPECIFICADO"
"T16X","CUERPO EXTRAÑO DEL OIDO"
"T170","CUERPO EXTRAÑO EN SENO PARANASAL"
"T171","CUERPO EXTRAÑO EN EL ORIFICIO NASAL"
"T172","CUERPO EXTRAÑO EN LA FARINGE"
"T173","CUERPO EXTRAÑO EN LA LARINGE"
"T174","CUERPO EXTRAÑO EN LA TRAQUEA"
"T175","CUERPO EXTRAÑO EN BRONQUIOS"
"T178","CUERPO EXTRAÑO EN OTRAS Y EN MULTIPLES PARTES DE LAS VIAS RESPIRATORIAS"
"T179","CUERPO EXTRAÑO EN LAS VIAS RESPIRATORIAS, PARTE NO ESPECIFICADA"
"T180","CUERPO EXTRAÑO EN LA BOCA"
"T181","CUERPO EXTRAÑO EN EL ESOFAGO"
"T182","CUERPO EXTRAÑO EN EL ESTOMAGO"
"T183","CUERPO EXTRAÑO EN EL INTESTINO DELGADO"
"T184","CUERPO EXTRAÑO EN EL COLON"
"T185","CUERPO EXTRAÑO EN EL ANO Y EN EL RECTO"
"T188","CUERPO EXTRAÑO EN OTRAS Y EN MULTIPLES PARTES DEL TUBO DIGESTIVO"
"T189","CUERPO EXTRAÑO EN EL TUBO DIGESTIVO, PARTE NO ESPECIFICADA"
"T190","CUERPO EXTRAÑO EN LA URETRA"
"T191","CUERPO EXTRAÑO EN LA VEJIGA"
"T192","CUERPO EXTRAÑO EN LA VULVA Y EN LA VAGINA"
"T193","CUERPO EXTRAÑO EN EL UTERO [CUALQUIER PARTE]"
"T198","CUERPO EXTRAÑO EN OTRAS Y EN MULTIPLES PARTES DE LAS VIAS GENITOURINARIAS"
"T199","CUERPO EXTRAÑO EN LAS VIAS GENITOURINARIAS, PARTE NO ESPECIFICADA"
"T200","QUEMADURA DE LA CABEZA Y DEL CUELLO, GRADO NO ESPECIFICADO"
"T201","QUEMADURA DE LA CABEZA Y DEL CUELLO, DE PRIMER GRADO"
"T202","QUEMADURA DE LA CABEZA Y DEL CUELLO, DE SEGUNDO GRADO"
"T203","QUEMADURA DE LA CABEZA Y DEL CUELLO, DE TERCER GRADO"
"T204","CORROSION DE LA CABEZA Y DEL CUELLO, GRADO NO ESPECIFICADO"
"T205","CORROSION DE LA CABEZA Y DEL CUELLO, DE PRIMER GRADO"
"T206","CORROSION DE LA CABEZA Y DEL CUELLO, DE SEGUNDO GRADO"
"T207","CORROSION DE LA CABEZA Y DEL CUELLO, DE TERCER GRADO"
"T210","QUEMADURA DEL TRONCO, GRADO NO ESPECIFICADO"
"T211","QUEMADURA DEL TRONCO, DE PRIMER GRADO"
"T212","QUEMADURA DEL TRONCO, DE SEGUNDO GRADO"
"T213","QUEMADURA DEL TRONCO, DE TERCER GRADO"
"T214","CORROSION DEL TRONCO, GRADO NO ESPECIFICADO"
"T215","CORROSION DEL TRONCO, DE PRIMER GRADO"
"T216","CORROSION DEL TRONCO, DE SEGUNDO GRADO"
"T217","CORROSION DEL TRONCO, DE TERCER GRADO"
"T220","QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, GRADO NO ESPECIFICADO, EXCEPTO DE LA MUÑECA Y DE LA MANO"
"T221","QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, DE PRIMER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO"
"T222","QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, DE SEGUNDO GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO"
"T223","QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, DE TERCER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO"
"T224","CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, GRADO NO ESPECIFICADO, EXCEPTO DE LA MUÑECA Y DE LA MANO"
"T225","CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE PRIMER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO"
"T226","CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE SEGUNDO GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO"
"T227","CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE TERCER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO"
"T230","QUEMADURA DE LA MUÑECA Y DE LA MANO, GRADO NO ESPECIFICADO"
"T231","QUEMADURA DE LA MUÑECA Y DE LA MANO, DE PRIMER GRADO"
"T232","QUEMADURA DE LA MUÑECA Y DE LA MANO, DE SEGUNDO GRADO"
"T233","QUEMADURA DE LA MUÑECA Y DE LA MANO, DE TERCER GRADO"
"T234","CORROSION DE LA MUÑECA Y DE LA MANO, GRADO NO ESPECIFICADO"
"T235","CORROSION DE LA MUÑECA Y DE LA MANO, DE PRIMER GRADO"
"T236","CORROSION DE LA MUÑECA Y DE LA MANO, DE SEGUNDO GRADO"
"T237","CORROSION DE LA MUÑECA Y DE LA MANO, DE TERCER GRADO"
"T240","QUEMADURA DE LA CADERA Y MIEMBRO INFERIOR, GRADO NO ESPECIFICADO, EXCEPTO TOBILLO Y PIE"
"T241","QUEMADURA DE LA CADERA Y MIEMBRO INFERIOR, DE PRIMER GRADO, EXCEPTO TOBILLO Y PIE"
"T242","QUEMADURA DE LA CADERA Y MIEMBRO INFERIOR, DE SEGUNDO GRADO , EXCEPTO TOBILLO Y PIE"
"T243","QUEMADURA DE LA CADERA Y MIEMBRO INFERIOR, DE TERCER GRADO, EXCEPTO TOBILLO Y PIE"
"T244","CORROSION DE LA CADERA Y MIEMBRO INFERIOR, GRADO NO ESPECIFICADO, EXCEPTO TOBILLO Y PIE"
"T245","CORROSION DE LA CADERA Y MIEMBRO INFERIOR, DE PRIMER GRADO, EXCEPTO TOBILLO Y PIE"
"T246","CORROSION DE LA CADERA Y MIEMBRO INFERIOR, DE SEGUNDO GRADO, EXCEPTO TOBILLO Y PIE"
"T247","CORROSION DE LA CADERA Y MIEMBRO INFERIOR, DE TERCER GRADO, EXCEPTO TOBILLO Y PIE"
"T250","QUEMADURA DEL TOBILLO Y DEL PIE, GRADO NO ESPECIFICADO"
"T251","QUEMADURA DEL TOBILLO Y DEL PIE, DE PRIMER GRADO"
"T252","QUEMADURA DEL TOBILLO Y DEL PIE, DE SEGUNDO GRADO"
"T253","QUEMADURA DEL TOBILLO Y DEL PIE, DE TERCER GRADO"
"T254","CORROSION DEL TOBILLO Y DEL PIE, GRADO NO ESPECIFICADO"
"T255","CORROSION DEL TOBILLO Y DEL PIE, DE PRIMER GRADO"
"T256","CORROSION DEL TOBILLO Y DEL PIE, DE SEGUNDO GRADO"
"T257","CORROSION DEL TOBILLO Y DEL PIE, DE TERCER GRADO"
"T260","QUEMADURA DEL PARPADO Y AREA PERIOCULAR"
"T261","QUEMADURA DE LA CORNEA Y SACO CONJUNTIVAL"
"T262","QUEMADURA CON RUPTURA Y DESTRUCCION RESULTANTES DEL GLOBO OCULAR"
"T263","QUEMADURA DE OTRAS PARTES DEL OJO Y SUS ANEXOS"
"T264","QUEMADURA DEL OJO Y ANEXOS, PARTE NO ESPECIFICADA"
"T265","CORROSION DEL PARPADO Y AREA PERIOCULAR"
"T266","CORROSION DE LA CORNEA Y SACO CONJUNTIVAL"
"T267","CORROSION CON RUPTURA Y DESTRUCCION RESULTANTES DEL GLOBO OCULAR"
"T268","CORROSION DE OTRAS PARTES DEL OJO Y SUS ANEXOS"
"T269","CORROSION DEL OJO Y SUS ANEXOS, PARTE NO ESPECIFICADA"
"T270","QUEMADURA DE LA LARINGE Y DE LA TRAQUEA"
"T271","QUEMADURA QUE AFECTA LA LARINGE Y LA TRAQUEA CON EL PULMON"
"T272","QUEMADURA DE OTRAS PARTES DE LAS VIAS RESPIRATORIAS"
"T273","QUEMADURA DE LAS VIAS RESPIRATORIAS, PARTE NO ESPECIFICADA"
"T274","CORROSION DE LA LARINGE Y DE LA TRAQUEA"
"T275","CORROSION QUE AFECTA LA LARINGE Y LA TRAQUEA CON EL PULMON"
"T276","CORROSION DE OTRAS PARTES DE LAS VIAS RESPIRATORIAS"
"T277","CORROSION DE LAS VIAS RESPIRATORIAS, PARTE NO ESPECIFICADA"
"T280","QUEMADURA DE LA BOCA Y DE LA FARINGE"
"T281","QUEMADURA DEL ESOFAGO"
"T282","QUEMADURA DE OTRAS PARTES DEL TUBO DIGESTIVO"
"T283","QUEMADURA DE ORGANOS GENITOURINARIOS INTERNOS"
"T284","QUEMADURA DE OTROS ORGANOS INTERNOS Y DE LOS NO ESPECIFICADOS"
"T285","CORROSION DE LA BOCA Y DE LA FARINGE"
"T286","CORROSION DEL ESOFAGO"
"T287","CORROSION DE OTRAS PARTES DEL TUBO DIGESTIVO"
"T288","CORROSION DE ORGANOS GENITOURINARIOS INTERNOS"
"T289","CORROSION DE OTROS ORGANOS INTERNOS Y DE LOS NO ESPECIFICADOS"
"T290","QUEMADURAS DE MULTIPLES REGIONES, GRADO NO ESPECIFICADO"
"T291","QUEMADURAS DE MULTIPLES REGIONES, MENCIONADAS COMO DE NO MAS DE PRIMER GRADO"
"T292","QUEMADURAS DE MULTIPLES REGIONES, MENCIONADAS COMO DE NO MAS DE SEGUNDO GRADO"
"T293","QUEMADURAS MULTIPLES, CON MENCION AL MENOS DE UNA QUEMADURA DE TERCER GRADO"
"T294","CORROSIONES DE MULTIPLES REGIONES, GRADO NO ESPECIFICADO"
"T295","CORROSIONES MULTIPLES, MENCIONADAS COMO DE NO MAS DE PRIMER GRADO"
"T296","CORROSIONES MULTIPLES, MENCIONADAS COMO DE NO MAS DE SEGUNDO GRADO"
"T297","CORROSIONES MULTIPLES, CON MENCION AL MENOS DE UNA CORROSION DE TERCER GRADO"
"T300","QUEMADURA DE REGION DEL CUERPO Y GRADO NO ESPECIFICADOS"
"T301","QUEMADURA DE PRIMER GRADO, REGION DEL CUERPO NO ESPECIFICADA"
"T302","QUEMADURA DE SEGUNDO GRADO, REGION DEL CUERPO NO ESPECIFICADA"
"T303","QUEMADURA DE TERCER GRADO, REGION DEL CUERPO NO ESPECIFICADA"
"T304","CORROSION DE REGION DEL CUERPO Y GRADO NO ESPECIFICADOS"
"T305","CORROSION DE PRIMER GRADO, REGION DEL CUERPO NO ESPECIFICADA"
"T306","CORROSION DE SEGUNDO GRADO, REGION DEL CUERPO NO ESPECIFICADA"
"T307","CORROSION DE TERCER GRADO, REGION DEL CUERPO NO ESPECIFICADA"
"T310","QUEMADURAS QUE AFECTAN MENOS DEL 10% DE LA SUPERFICIE DEL CUERPO"
"T311","QUEMADURAS QUE AFECTAN DEL 10 AL 19% DE LA SUPERFICIE DEL CUERPO"
"T312","QUEMADURAS QUE AFECTAN DEL 20 AL 29% DE LA SUPERFICIE DEL CUERPO"
"T313","QUEMADURAS QUE AFECTAN DEL 30 AL 39% DE LA SUPERFICIE DEL CUERPO"
"T314","QUEMADURAS QUE AFECTAN DEL 40 AL 49% DE LA SUPERFICIE DEL CUERPO"
"T315","QUEMADURAS QUE AFECTAN DEL 50 AL 59% DE LA SUPERFICIE DEL CUERPO"
"T316","QUEMADURAS QUE AFECTAN DEL 60 AL 69% DE LA SUPERFICIE DEL CUERPO"
"T317","QUEMADURAS QUE AFECTAN DEL 70 AL 79% DE LA SUPERFICIE DEL CUERPO"
"T318","QUEMADURAS QUE AFECTAN DEL 80 AL 89% DE LA SUPERFICIE DEL CUERPO"
"T319","QUEMADURAS QUE AFECTAN EL 90% O MAS DE LA SUPERFICIE DEL CUERPO"
"T320","CORROSIONES QUE AFECTAN MENOS DEL 10% DE LA SUPERFICIE DEL CUERPO"
"T321","CORROSIONES QUE AFECTAN DEL 10 AL 19% DE LA SUPERFICIE DEL CUERPO"
